"","SW837.sgCh2.2","SW837.sgBIRC6.1","SW837.sgBIRC6.4","SNU503.sgCh2.2","SNU503.sgBIRC6.1","SNU503.sgBIRC6.4","HCC15.sgCh2.2","HCC15.sgBIRC6.1","HCC15.sgBIRC6.4","HCC95.sgCh2.2","HCC95.sgBIRC6.1","HCC95.sgBIRC6.4","JIMT1.sgCh2.2","JIMT1.sgBIRC6.1","JIMT1.sgBIRC6.4","HCC202.sgCh2.2","HCC202.sgBIRC6.1","HCC202.sgBIRC6.4"
"CEBPZ (ENSG00000115816.9)",105.46,116.475,113.5375,84.3375,94.2125,100.8125,106.325,100.4975,103.3425,73.3375,79.7375,80.32,76.2475,72.09,62.535,57.4575,69.395,59.0725
"PRKD3 (ENSG00000115825.5)",34.075,37.3425,34.085,23.165,19.425,20.3725,76.0225,76.3525,71.3175,19.845,15.8875,18.6,38.9675,37.32,37.335,51.1125,51.59,50.5775
"DCAF17 (ENSG00000115827.9)",13.3,12.4775,11.1275,8.2225,13.125,12.375,14.84,16.155,16.0725,9.7775,9.4025,10.5925,8.4175,10.0425,8.595,7.6025,7.52,7.97
"QPCT (ENSG00000115828.11)",35.01,35.74,37.0075,0,0,0,169.375,166.93,151.535,0,0,0,42.7575,44.2925,44.0575,1.09,0.41,0
"RAB3GAP1 (ENSG00000115839.13)",37.235,38.915,36.3325,39.135,56.6625,60.545,32.8275,40.6425,38.7725,36.8325,42.18,44.8925,40.4975,44.9775,46.7775,54.83,74.07,73.5275
"SLC25A12 (ENSG00000115840.9)",19.8575,20.0625,18.6325,15.5775,14.945,16.195,12.515,13.2875,13.525,14.4925,15.8175,13.765,6.1875,6.2275,5.11,15.415,16.485,15.21
"RMDN2 (ENSG00000115841.15)",3.82,3.885,4.8925,5.1975,5.945,5.405,4.0525,4.8525,3.8575,3.1975,3.4,4.3325,2.1275,2.7375,1.4425,5.65,5.74,4.525
"DLX2 (ENSG00000115844.6)",3.4025,2.3025,2.6,0.7825,0.485,0.54,2.325,1.82,2.155,1.67,1.6725,1.1075,0.12,0.115,0.27,4.22,9.34,8.54
"DARS (ENSG00000115866.6)",97.26,101.57,110.9525,82.75,84.54,85.8125,126.1725,144.1725,138.8425,82.86,98.9175,98.77,73.91,71.59,69.415,54.6675,53.3575,48.2275
"SRSF7 (ENSG00000115875.14)",208.5325,204.1725,213.64,246.9825,206.6175,203.155,196.5125,196.825,197.4025,158.55,155.54,160.81,160.155,161.3325,154.03,190.6875,144.3375,135.93
"SDC1 (ENSG00000115884.6)",50.8175,50.3275,44.58,364.73,209.42,178.87,4.875,4.53,4.445,350.2075,251.71,233.4375,54.65,49.255,48.9625,1039.2,785.5875,670.8625
"SLC1A4 (ENSG00000115902.6)",5.5375,6.9125,4.525,53.345,78.1975,75.265,12.065,15.4475,15.885,51.33,45.9525,46.4675,7.7375,8.78,9.1575,55.235,97.135,105.1625
"SOS1 (ENSG00000115904.8)",20.0325,19.3675,15.4775,17.4975,18.3625,20.2025,13.36,13.3475,16.0025,14.725,10.96,15.52,26.55,29.81,27.15,26.27,46.1525,54.9175
"KYNU (ENSG00000115919.10)",0.0925,0.5075,0,1.1525,1.08,1.2025,102.5675,125.2625,126.1,60.455,58.84,58.5075,0.2925,0.21,0.32,19.335,9.9475,10.36
"WIPF1 (ENSG00000115935.12)",0,0.0625,0,4.62,4.0875,3.8625,2.9975,3.92,2.805,12.855,13.925,12.06,0,0,0,0.2275,0,0
"ORC2 (ENSG00000115942.4)",22.03,26.34,25.805,15.615,17.8975,19.525,20.4825,17.76,23.6775,18.225,15.375,17.46,26.765,30.565,27.3675,12.95,11.8225,13.6275
"COX7A2L (ENSG00000115944.10)",164.71,169.4975,178.7475,169.89,208.74,211.495,219.4225,220.0725,210.0225,156.5975,151.8225,149.7825,206.29,221.0925,225.6075,187.8075,222.44,234.4075
"PNO1 (ENSG00000115946.3)",39.5325,44.755,41.8375,66.5175,81.575,82.9975,53.24,51.6125,51.69,44.4275,45.2075,55.685,24.6825,23.7425,24.605,33.7525,36.2425,39.2425
"ORC4 (ENSG00000115947.9)",48.82,56.8425,61.205,41.27,39.525,43.3625,49.815,55.705,54.605,41.955,40.1025,46.6375,40.9225,46.4175,44.6225,43.865,46.8825,45.725
"RND3 (ENSG00000115963.9)",36.4425,36.6425,35.435,50.06,46.89,44.265,39.0675,54.5675,48.6325,48.6525,55.1225,62.235,30.465,32.4275,31.465,40.9325,57.2825,59.3225
"ATF2 (ENSG00000115966.12)",15.3275,13.4075,13.675,16.7025,16.23,18.96,32.04,30.94,32.1675,20.3175,18.005,19.4575,15.9025,17.7675,14.7625,17.6125,20.915,23.3675
"THADA (ENSG00000115970.14)",22.6675,23.755,22.7275,20.2475,23.135,25.1,18.4525,17.6175,19.4325,26.0925,22.65,21.655,18.89,16.6475,16.345,31.6575,35.48,30.545
"AAK1 (ENSG00000115977.14)",5.49,6.6875,5.9625,30.79,36.8825,37.2275,7.4225,8.7425,8.7025,7.1675,7.5725,6.6275,19.8975,17.0225,18.365,11.785,18.11,14.2425
"TRAK2 (ENSG00000115993.7)",13.4725,14.595,14.0325,8.6175,8.5825,10.5325,15.4975,15.2625,16.135,8.36,9.6775,11.085,3.5875,5.4825,4.0225,10.5475,15.6975,17.2625
"C2orf42 (ENSG00000115998.3)",11.0875,8.9925,10.345,27.715,26.5775,27.2225,7.16,9.455,11.9075,13.585,14.4775,10.4175,15.305,11.945,10.3775,12.265,22.09,28.9925
"TIA1 (ENSG00000116001.11)",27.125,23.7225,22.3025,71.8925,63.95,56.175,31.7175,27.7225,24.915,27.3925,26.775,19.4375,24.655,20.705,19.295,70.025,60.11,53.15
"PCYOX1 (ENSG00000116005.7)",43.885,36.0325,34.3125,124.0525,115.6325,125.745,45.1875,46.8525,37.4725,85.4425,68.0525,75.55,36.2,33.365,32.8625,85.32,87.5125,81.265
"EPAS1 (ENSG00000116016.9)",36.8125,40.35,36.0975,19.23,14.0125,16.0575,41.115,39.0025,41.915,15.6975,12.955,10.915,38.36,42.865,40.6525,96.93,83.8575,84.935
"ARID3A (ENSG00000116017.6)",9.425,6.8675,7.1675,10.96,8.5475,8.875,6.6425,6.7775,6.4625,2.735,2.4875,2.34,13.2675,13.9075,10.1525,4.795,5.2125,2.185
"SUMO1 (ENSG00000116030.12)",307.4175,296.89,287.695,197.235,208.05,223.015,329.8525,296.8625,294.1625,179.64,181.7675,189.735,221.0225,229.8175,233.5975,168.9625,188.8575,192.2025
"GRIN3B (ENSG00000116032.5)",1.095,1.9075,1.175,1.05,1.1175,0.345,0.16,0.6525,0.705,0.4425,0.6575,1.0525,0.1825,0.04,0.13,0.04,0.0425,0
"VAX2 (ENSG00000116035.2)",0,0,0,7.555,6.8475,5.655,2.56,2.585,1.2975,1.7925,1.155,1.1775,1.17,0.905,0.9425,0,0,0
"ATP6V1B1 (ENSG00000116039.7)",1.495,1.2425,1.7275,2.9175,1.975,2.775,0.7525,0.8075,0.87,0.1725,0.08,0.1275,1.415,1.43,1.0025,0,0,0
"NFE2L2 (ENSG00000116044.11)",59.2525,65.64,59.9,108.195,126.27,130.9625,82.4525,82.645,85.905,333.445,406.9275,423.8575,46.78,47.01,52.6025,48.785,66.19,64.6525
"MSH6 (ENSG00000116062.10)",74.6475,69.825,61.8525,202.8025,133.03,120.075,112.045,105.1325,108.5925,130.5,99.36,110.4225,141.055,105.41,110.65,104.2325,85.225,85.3275
"PLEKHA3 (ENSG00000116095.6)",22.7225,23.7175,17.8175,12.5425,16.47,20.3725,26.6925,28.1775,23.8525,14.1675,11.3125,13.64,29.68,32.5325,33.175,12.0775,14.7775,13.0075
"SPR (ENSG00000116096.5)",35.92,38.4975,37.8675,111.6625,90.405,90.9225,68.6475,59.7475,62.3975,44.9375,41.7025,41.38,52.9025,49.61,49.7675,61.345,55.51,46.8475
"EPHA4 (ENSG00000116106.7)",4.055,6.4325,4.775,11.4175,13.1725,14.945,2.83,2.895,3.2,5.055,3.115,4.765,11.9075,13.5375,12.9825,13.8075,16.35,15.3225
"PARD3B (ENSG00000116117.13)",3.145,2.6825,1.97,1.165,1.3025,2.0225,4.2625,4.7875,5.2725,1.93,2.26,1.945,1.3375,1.23,1.2075,2.6475,3.82,2.395
"FARSB (ENSG00000116120.8)",97.955,106.2475,103.71,61.8425,75.2275,78.9125,115.38,120.91,120.4075,66.435,83,88.3325,74.325,83.7575,74.84,64.5925,69.1175,73.4025
"ALMS1 (ENSG00000116127.13)",7.695,7.04,6.65,24.2425,21.63,24,7.495,10.42,10.4675,8.8975,9.2125,8.06,6.5325,7.61,4.1875,7.7625,10.73,9.1225
"BCL9 (ENSG00000116128.5)",20.6625,17.5225,14.81,8.4425,8.3875,7.09,8.64,9.415,9.65,6.9375,4.9925,7,14.8725,14.2625,16.7925,20.365,28.8,28.9075
"DHCR24 (ENSG00000116133.7)",58.0875,49.92,48.1475,257.5,159.9,164.2625,106.1075,77.1225,79.665,241.265,203.62,198.575,511.4675,432.0925,436.5075,370.1825,237.4025,247.44
"DNAJC16 (ENSG00000116138.8)",13.3225,13.0875,11.6875,9.35,13.015,14.205,6.0125,5.4525,6.0125,5,5.105,7.7325,12.0825,9.7225,10.2075,11.7925,15.7375,15.5425
"MARK1 (ENSG00000116141.11)",0.03,0.55,0,43.675,46.7575,46.4275,0,0,0.0325,18.735,15.0875,15.0025,4.8275,4.505,4.4725,5.6225,17.7475,19.3475
"MORN1 (ENSG00000116151.9)",13.96,10.61,10.135,6.405,9.11,8.0475,7.9875,8.8575,7.045,4.48,5.5475,4.035,7.5575,8.105,6.3975,11.6,14.8,14.4375
"GPX7 (ENSG00000116157.5)",5.4075,7.0375,5.75,0,0,0,3.715,2.5175,2.62,0,0,0,9.64,8.2525,8.4375,0,0,0
"CACYBP (ENSG00000116161.13)",170.2975,181.5425,177.7725,307.955,233.0425,253.5925,250.605,228.9275,246.0575,121.105,137.8925,140.665,460.4125,475.14,443.275,278.44,237.9275,236.2875
"SCP2 (ENSG00000116171.12)",69.95,72.895,71.8,121.8225,92.115,96.15,174.3875,175.9125,165.105,86.1575,83.0725,72.0325,116.7575,118.41,114.54,356.1775,315.2,282.2275
"PAPPA2 (ENSG00000116183.6)",0.015,0.0925,0.0525,0.6675,4.01,3.7825,0,0,0,0.1525,0.1325,0.17,0.025,0.095,0.0525,0.085,0.1,0.1525
"RALGPS2 (ENSG00000116191.13)",19.18,17.1425,15.555,18.7925,9.475,9.93,10.7175,11.7875,12.175,13.7,11.625,11.7675,63.005,68.4325,63.88,38.275,39.355,37.5825
"CEP104 (ENSG00000116198.8)",30.97,25.8025,23.0475,30.68,22.925,20.7125,20.3125,23.3525,21.77,13.7675,15.99,15.6725,22.47,20.1775,20.5825,35.545,39.72,30.705
"FAM20B (ENSG00000116199.7)",27.045,27.6025,24.935,65.6075,56.435,55.7025,17.875,20.28,18.465,17.695,14.84,16.49,50.17,42.275,41.89,45.5625,55.08,46.7
"TCEANC2 (ENSG00000116205.6)",3.0675,3.91,2.6975,5.1875,5.2425,4.4475,5.1925,5.9125,5.2925,2.99,3.0475,3.5975,3.965,3.4025,3.32,6.1575,7.17,7.9175
"TMEM59 (ENSG00000116209.7)",111.405,110.67,117.4575,169.5775,146.1525,158.185,133.98,127.3075,114.675,132.37,125.175,122.45,114.7275,121.0975,126.1075,298.5475,303.7175,302.35
"LRRC42 (ENSG00000116212.10)",70.9975,72.775,70.4825,32.225,30.3175,26.075,48.3875,47.615,47.865,45.865,41.105,43.885,53.685,57.19,55.4525,69.215,66.7275,69.56
"WRAP73 (ENSG00000116213.11)",34.6375,33.99,31.39,37.46,32.295,32.5775,18.5525,14.63,17.8775,25.2725,21.975,21.4325,22.95,23.5725,19.6875,32.765,34.4325,33.2925
"MRPL37 (ENSG00000116221.11)",73.5575,82.045,77.035,99.07,107.2675,100.56,140.9425,136.35,146.87,109.49,118.2675,113.615,134.5025,133.9525,139.225,137.975,131.37,127.35
"ICMT (ENSG00000116237.11)",66.995,65.6475,62.37,58.9525,51.0925,48.1375,64.1775,61.535,63.9725,57.555,58.6775,60.6975,54.11,48.1075,55.3075,80.9325,66.39,65.7375
"RPL22 (ENSG00000116251.5)",695.53,701.425,671.6725,545.9925,615.465,566.4875,641.605,643.825,600.6825,639.665,628.33,623.6925,630.16,570.8075,543.3425,568.6325,623.3925,589.665
"CHD5 (ENSG00000116254.13)",1.2825,2.33,0.9675,0.22,0.1675,0.19,0.02,0.1625,0.0575,0.415,0.5775,0.7575,0.99,0.765,0.6475,0,0.045,0.0925
"QSOX1 (ENSG00000116260.12)",99.235,101.87,97.355,36.2975,40.1,39.095,34.17,28.4725,30.705,37.085,28.79,32.695,144.325,131.8325,134.2475,19.785,29.8,27.275
"STXBP3 (ENSG00000116266.6)",25.0025,26.3075,24.245,13.6575,13.2975,15.6825,37.765,37.9675,33.27,23.3425,21.2,24.9,16.605,17.2,14.2675,27.735,34.7925,34.4525
"PHF13 (ENSG00000116273.5)",18.8725,17.5925,18.54,16.5875,13.595,13.17,9.875,9.735,10.13,14.3875,13.295,14.335,26.56,25.7075,28.4625,30.8725,26.065,23.4875
"ERRFI1 (ENSG00000116285.8)",79.6075,96.5825,88.7025,7.1225,12.655,13.77,42.015,43.3925,50.0725,18.41,22.235,24.9825,55.3575,77.2725,67.6175,51.2225,84.98,96.91
"PARK7 (ENSG00000116288.8)",425.2725,432.4875,439.9775,332.17,275.255,266.4725,544.0325,547.065,540.3125,316.9,305.4425,296.03,342.1725,338.4975,336.9525,638.62,590.765,595.7
"KIAA1324 (ENSG00000116299.12)",0.0275,0,0,0.65,0.4075,0.8525,2.1075,2.58,2.1875,0.625,1.01,0.2975,0.365,0.105,0,66.065,68.6725,58.8325
"AMPD2 (ENSG00000116337.11)",33.47,36.4275,34.435,15.3775,16.21,16.745,21.405,21.3725,19.2125,17.86,19.2375,19.265,20.54,19.8175,19.3325,26.7375,23.99,25.67
"SRSF4 (ENSG00000116350.11)",75.625,75.9425,70.42,76.8375,66.7425,68.6375,73.0425,74.6625,77.8475,56.5525,54.325,57.28,79.1375,72.675,69.85,52.325,48.94,46.78
"MECR (ENSG00000116353.11)",49.085,51.15,49.805,29.33,28.985,31.7925,27.87,28.5275,28.07,32.6725,31.995,29.1525,22.9125,20.0625,23.03,37.7075,39.0575,37.65
"KCNC4 (ENSG00000116396.9)",5.19,5.5775,4.755,1.185,0.6525,0.7975,1.9275,1.61,2.0925,4.3275,3.995,4.12,0.675,0.68,0.885,5.0425,4.255,2.9925
"EDEM3 (ENSG00000116406.14)",15.405,14.1275,14.035,14.6675,14.1475,13.0025,8.2425,8.6075,10.185,10.835,10.3225,10.635,5.515,5.3375,5.84,40.83,46.57,40.53
"WDR77 (ENSG00000116455.9)",29.545,28.675,29.395,51.635,35.9675,39.355,36.2675,42.46,39.53,45.4375,53.89,48.6625,18.4225,19.625,19.7375,33.065,33.98,35.9475
"ATP5PB (ENSG00000116459.6)",253.8075,281.305,286.1575,204.5325,173.655,172.7025,412.89,411.0625,402.475,321.4725,344.205,337.8625,149.605,154.8225,137.8225,459.8425,411.7,405.5175
"RAP1A (ENSG00000116473.10)",41.5575,40.3725,42.3425,28.25,29.31,28.5025,59.8075,58.5425,60.1375,54.0875,47.22,56.625,38.1525,39.1275,38.2725,67.83,64.4625,70.9975
"HDAC1 (ENSG00000116478.7)",200.7375,183.915,182.9875,194.7325,155.2325,150.1375,151.0075,143.8475,141.115,155.54,151.11,162.0825,70.82,74.845,74.4825,57.64,52.7825,51.3575
"CAPZA1 (ENSG00000116489.8)",188.22,195.6775,189.735,57.45,56.19,58.86,136.0475,138.0325,138.9975,120.0875,119.0125,124.62,66.21,67.5725,59.0925,158.7175,155.96,151.95
"S100PBP (ENSG00000116497.13)",20.3425,19.245,20.405,20.1175,15.9775,15.0675,14.6725,16.2175,14.3575,14.5975,16.18,18.14,16.0175,16.71,17.6175,28.89,31.3975,30.705
"RNF19B (ENSG00000116514.12)",47.635,46.56,42.4775,16.295,14.6275,14.77,13.9075,13.89,13.6125,17.6225,15.7175,17.8925,22.74,21.08,21.1,22.36,26.5825,26.6375
"SCAMP3 (ENSG00000116521.6)",84.28,83.9175,80.7125,74.9025,75.235,73.7325,79.245,75.815,75.38,53.8175,57.2825,58.335,60.1925,56.1525,59.01,181.31,168.7775,185.0275
"TRIM62 (ENSG00000116525.9)",3.005,2.895,2.6225,6.1475,5.7025,5.66,3.305,2.9375,3.145,3.1375,3.1975,3.27,5.695,5.33,6.03,8.7425,9.2425,7.91
"ASH1L (ENSG00000116539.6)",11.6075,10.5625,9.28,12.625,13.5475,13.2475,6.2575,7.07,7.3,6.395,5.08,5.7975,6.95,6.84,7.3475,18.83,22.315,19.3475
"DLGAP3 (ENSG00000116544.7)",0.12,0.17,0.08,0.2775,0.1075,0.09,0.1175,0.2,0.0775,0.64,0.6575,0.585,0,0,0,0.0925,0.075,0.04
"SFPQ (ENSG00000116560.6)",168.075,167.815,171.765,285.0575,254.055,236.29,152.5925,158.765,157.79,131.615,137.56,143.2325,93.9775,90.955,88.6575,220.4325,219.89,208.945
"RHOU (ENSG00000116574.4)",10.2725,6.8425,7.7525,2.215,1.645,0.8125,7.4075,5.2825,4.0025,0.8625,2.445,0.6875,2.5825,3.4925,3.525,0.025,0.0325,0
"GON4L (ENSG00000116580.14)",15.3175,13.8025,11.93,16.93,17.8975,19.7,10.655,10.145,9.975,8.125,7.215,8.73,15.34,15.02,15.68,29.1275,39.475,31.8575
"ARHGEF2 (ENSG00000116584.13)",45.1025,42.53,39.515,31.445,74.22,74.73,32.68,35.525,38.54,28.8375,38.1575,45.2275,49.1825,55.605,57.2,59.055,97.9525,122.26
"LAMTOR2 (ENSG00000116586.7)",113.215,90.51,103.74,112.8525,106.2675,114.63,99.8475,89.8675,88.1675,53.4225,54.445,56.215,91.51,96.32,91.825,252.8025,263.34,252.3075
"MEF2D (ENSG00000116604.13)",31.6225,33.8575,34.38,14.2225,16.3975,15.8225,21.5225,20.9875,24.2025,6.18,7.1925,7.215,13.4575,16.19,15.0575,26.6675,33.515,33.8675
"DOCK7 (ENSG00000116641.11)",5.73,5.58,5.48,11.79,11.4725,12.42,10.9525,11.4925,13.035,8.19,7.9925,8.0225,15.31,15.785,16.075,21.5975,21.6725,20.0275
"SRM (ENSG00000116649.5)",132.05,132.61,142.2525,83.5225,103.12,106.0425,154.485,161.7125,171.5,73.1625,89.195,101.29,97.31,117.89,100.9975,118.535,112.9,113.8875
"FBXO2 (ENSG00000116661.9)",72.135,66.805,73.2325,0.6025,0.3275,0.23,4.8275,3.9025,5.65,44.785,38.455,30.5775,87.5525,80.575,96.1075,6.2925,3.825,3.44
"FBXO6 (ENSG00000116663.6)",17.145,14.61,15.4875,4.0575,2.3425,3.055,12.555,12.295,11.6275,1.37,0.9625,1.46,24.6875,20.6775,20.8075,19.1575,18.4275,19.4675
"C1orf21 (ENSG00000116667.8)",3.5875,3.5775,3.4125,1.6175,0.665,0.06,0.03,0.01,0.025,13.3925,15.145,14.0775,39.1175,31.1225,35.6675,20.7475,20.2025,17.8625
"SWT1 (ENSG00000116668.8)",2.2075,2.4725,1.9725,2.3825,2.7325,3.0275,1.7725,1.715,2.29,2.9475,2.51,2.84,1.5275,1.9575,1.3975,5.095,5.2075,6.03
"MAD2L2 (ENSG00000116670.10)",44.7125,42.215,43.025,57.88,54.85,50.7375,58.805,64.38,59.5125,74.0575,82.3,76.965,59.15,59.755,63.245,44.225,39.155,41.9075
"DNAJC6 (ENSG00000116675.11)",4.455,4.5275,3.24,6.165,4.905,6.1975,6.835,6.8625,7.2625,1.7425,1.8875,1.8125,5.01,3.95,3.04,0.0675,0.0425,0.045
"LEPR (ENSG00000116678.14)",3.685,3.1375,3.29,3.7975,3.65,4.1425,3.1625,4.04,3.9325,3.795,3.1825,3.4725,6.4675,5.665,5.6975,2.475,2.8725,2.16
"IVNS1ABP (ENSG00000116679.11)",64.0575,66.085,61.695,54.615,38.3425,41.44,65.525,71.245,64.8375,138.77,114.0325,99.8525,39.535,36.6675,36.115,124.8125,114.4525,99.9275
"KIAA2013 (ENSG00000116685.11)",78.685,75.805,72.185,43.6575,40.1625,36.855,34.5275,33.425,34.3625,42.8825,46.0575,45.095,38.81,37.56,37.2575,46.59,46.565,46.26
"MFN2 (ENSG00000116688.12)",81.65,83.1525,76.1275,60.74,67.2425,64.8225,53.755,52.205,59.4275,71.5175,68.1925,76.0325,75.255,72.0525,73.8,127.68,124.155,120.2475
"MIIP (ENSG00000116691.6)",37.11,34.7075,38.9625,15.8425,16.7025,15.4225,19.47,20.8975,22.8525,19.3375,25.1225,22.555,25.33,26.44,27.505,31.725,38.9325,46.135
"SMG7 (ENSG00000116698.16)",57.75,56.0475,48.93,101.025,125.0425,126.7375,18.26,22.1725,22.3025,44.9225,45.385,50.1475,50.995,57.1,56.9175,89.495,92.8275,98.3875
"NCF2 (ENSG00000116701.10)",5.8125,6.1375,6.235,4.695,8.3625,7.77,2.16,1.4875,2.75,23.505,18.1425,31.305,0.2875,0.1475,0.48,0,0,0.0675
"SLC35D1 (ENSG00000116704.6)",2.6775,2.7575,2.405,5.1225,4.4,4.9675,4.5675,5.015,4.565,3.185,3.0875,3.22,3.495,3.4325,3.0675,7.825,8.1775,8.0275
"PLA2G4A (ENSG00000116711.8)",61.935,68.65,65.235,13.975,20.7675,20.2425,1.2125,1.345,0.8025,10.785,11.22,10.695,3.235,1.915,2.2875,0.1575,0.1825,0.1675
"GADD45A (ENSG00000116717.7)",15.6125,14.705,15.1025,25.395,42.9175,42.465,17.5125,15.93,19.2625,82.6075,51.745,62.21,29.84,28.5075,25.615,18.0175,49.6175,47.46
"WLS (ENSG00000116729.9)",47.7125,45.385,42.5725,67.4475,69.8375,75.4075,8.0375,8.82,9.7025,64.6275,55.9875,54.3975,18.5175,16.8525,13.055,102.495,99.2075,100.9475
"PRDM2 (ENSG00000116731.18)",21.3175,21.73,17.85,13.66,12.1225,12.39,6.82,7.4775,6.81,9.9825,8.64,12.345,10.1125,9.38,10.4,11.87,12.9775,13.415
"RGS2 (ENSG00000116741.6)",9.67,8.335,6.6175,3.2725,2.88,2.8775,14.785,13.5025,12.2725,12.0225,10.6175,11.23,3.795,3.1825,3.27,0.935,0.98,1.3225
"TROVE2 (ENSG00000116747.8)",26.15,29.6375,27.5525,20.63,24.6175,31.6475,23.235,25.54,28.3375,38.7025,34.9875,34.65,26.03,25.81,23.0725,37.2525,56.0075,54.8575
"UCHL5 (ENSG00000116750.9)",76.825,85.59,79.4625,48.12,48.54,50.7275,74.29,77.7225,77.07,111.9175,123.2925,140.055,75.56,77.635,76.97,104.7125,103.915,105.4325
"BCAS2 (ENSG00000116752.5)",45.7475,49.6025,52.8525,32.9825,43.995,45.7225,75.7275,78.0675,78.775,66.2875,67.6075,70.68,23.555,27.3775,23.18,86.8825,97.24,101.7275
"SRSF11 (ENSG00000116754.9)",64.3775,66.4125,64.1125,86.5875,76.9375,74.8825,79.0075,83.0175,81.195,65.0025,65.6075,67.4775,59.8975,62.9175,52.465,96.68,102.835,99.14
"CTH (ENSG00000116761.7)",50.81,53.855,56.665,4.2825,18.195,20.5675,13.8725,15.0075,18.1525,8.71,9.5975,10.7675,66.935,77.77,81.3775,7.7575,15.6425,15.4175
"AGMAT (ENSG00000116771.5)",12.875,12.355,10.9,0,0,0.0675,2.845,2.7325,3.06,0,0.1,0.0625,6.445,6.77,6.165,1.5975,1.2975,1.315
"OLFML3 (ENSG00000116774.7)",0.56,0.0775,0.7575,0,0.0625,0.305,0,0,0,0,0,0,167.6325,165.555,161.705,0.395,0.185,0.095
"CFHR3 (ENSG00000116785.9)",0,0,0.0925,2.8675,1.17,1.9475,0,0,0,0,0,0,0,0,0,0,0,0
"PLEKHM2 (ENSG00000116786.7)",54.315,54.9275,47.5775,29.935,33.46,30.69,34.3075,32.4875,33.2975,36.3025,32.55,32.3075,44.545,43.68,47.62,35.51,36.695,34.435
"CRYZ (ENSG00000116791.9)",59.94,57.13,58.2175,37.79,27.2775,27.5925,96.52,84.535,81.6275,20.7325,21.13,21.1175,19.265,16.955,15.675,91.5325,78.9,76.0425
"PHTF1 (ENSG00000116793.11)",12.195,8.8275,8.9125,5.9475,4.8625,4.4475,25.55,21.6125,25.755,13.9425,13.4925,10.8675,10.385,9.8125,10.2025,21.7575,22.925,19.39
"ZBTB17 (ENSG00000116809.7)",16.5975,16.5275,19.93,15.735,14.465,16.545,14.8375,12.1775,16.01,11.9625,10.9125,10.1825,16.11,15.8675,15.885,31.4375,36.175,36.905
"CD58 (ENSG00000116815.11)",16.0475,19.0575,17.435,15.26,17.42,18.4425,19.2775,20.1,15.435,22.7675,24.0825,25.1325,3.075,3.125,2.435,8.03,7.695,7.575
"TFAP2E (ENSG00000116819.6)",1.775,1.3675,1.7725,0,0,0,0.29,0.19,0.13,0.11,0.1875,0.145,0.17,0,0.2775,0.0525,0.065,0.0675
"TTF2 (ENSG00000116830.7)",21.3925,23.26,16.9875,18.2025,18.19,13.4875,32.53,26.7625,25.59,59.3975,59.4375,58.68,14.835,10.7825,8.215,27.56,16.4825,18.75
"NR5A2 (ENSG00000116833.9)",0.045,0.0375,0,0.045,0,0,0,0,0,0.29,0.1575,0.255,1.4275,1.535,2.0475,0,0,0
"KIF21B (ENSG00000116852.10)",3.5275,4.2725,3.31,0.44,0.72,0.6975,0.76,1.5225,1.5325,2.8075,3.855,4.5075,1.505,1.66,2.1325,2.1075,4.8275,6.15
"TMEM9 (ENSG00000116857.12)",83.295,73.8625,69.6725,80.665,72.075,67.93,48.77,45.8825,43.615,182.03,159.4275,146.1925,87.2,84.34,93.595,306.435,308.23,318.2525
"ADPRHL2 (ENSG00000116863.10)",34.7625,30.6175,32.04,25.3775,22.88,22.5,20.1,18.36,21.6925,16.5925,17.5475,19.4075,27.755,27.5025,27.8475,41.7,44.7725,40.895
"MAP7D1 (ENSG00000116871.11)",93.2625,91.5125,97.3075,48.1375,43.9475,45.89,96.7625,103.7025,105.325,68.8175,69.4725,68.625,121.3475,109.85,118.8025,89.385,87.715,84.8525
"WARS2 (ENSG00000116874.7)",11.8725,10.35,11.1775,4.8425,4.345,4.345,12.6025,13.34,12.2425,13.995,11.77,13.47,5.46,5.99,8.425,10.6475,9.55,11.6775
" (ENSG00000116883.8)",4.7825,5.15,3.5825,0.4975,0.1375,0.2875,0.82,0.5925,0.81,0.8775,0.5625,0.8475,2.6975,2.3275,1.985,0.84,0.95,0.8675
"OSCP1 (ENSG00000116885.14)",5.0575,7.2025,6.4125,0.28,0.4475,0,6.08,5.59,5.9075,4.3425,6.0075,3.41,6.82,9.4575,10.6475,16.3275,23.1425,21.805
"MRPS15 (ENSG00000116898.7)",150.3625,159.575,161.465,110.46,115.305,113.295,124.9625,118.0325,119.2675,126.9975,134.56,141.2275,145.08,137.99,138.5275,187.2225,171.4975,179.705
"EXOC8 (ENSG00000116903.6)",10.1275,9.26,9.195,9.6375,8.7075,8.7925,7.6875,7.405,8.17,10.5925,10.2775,11.3675,8.245,8.8275,7.395,8.0625,10.225,10.4175
"GNPAT (ENSG00000116906.7)",39.8125,38.3325,37.01,46.1225,44.715,43.755,34.69,36.585,37.2825,58.55,57.7125,57.885,35.0175,33.0975,31.785,47.2025,64.59,63.7675
"TSNAX (ENSG00000116918.9)",55.7,51.87,51.7075,52.29,50.9,52.2275,61.9225,59.605,59.3075,48.9975,49.23,57.58,23.8175,23.7525,26.9425,47.9375,57.2375,48.9075
"C1orf109 (ENSG00000116922.10)",42.1925,38.4025,41.2425,33.915,36.06,39.47,39.5525,42.25,42.855,23.0125,29.375,25.1125,20.9425,22.1425,25.7375,30.0975,40.125,37.975
